a_node,a_node_interface,b_node,b_node_interface
7280SR3-1,Ethernet1,HARNESS1,Ethernet1
7280SR3-1,Ethernet2,HARNESS1,Ethernet2
7280SR3-1,Ethernet3,HARNESS1,Ethernet3
7280SR3-1,Ethernet4,HARNESS1,Ethernet4
7280SR3-1,Ethernet5,HARNESS1,Ethernet5
7280SR3-1,Ethernet6,HARNESS1,Ethernet6
7280SR3-2,Ethernet1,HARNESS1,Ethernet7
7280SR3-2,Ethernet2,HARNESS1,Ethernet8
7280SR3-2,Ethernet3,HARNESS1,Ethernet9
7280SR3-2,Ethernet4,HARNESS1,Ethernet10
7280SR3-2,Ethernet5,HARNESS1,Ethernet11
7280SR3-2,Ethernet6,HARNESS1,Ethernet12
7280SR3-3,Ethernet1,HARNESS1,Ethernet13
7280SR3-3,Ethernet2,HARNESS1,Ethernet14
7280SR3-3,Ethernet3,HARNESS1,Ethernet15
7280SR3-3,Ethernet4,HARNESS1,Ethernet16
7280SR3-3,Ethernet5,HARNESS1,Ethernet17
7280SR3-3,Ethernet6,HARNESS1,Ethernet18
7280SR3-4,Ethernet1,HARNESS1,Ethernet19
7280SR3-4,Ethernet2,HARNESS1,Ethernet20
7280SR3-4,Ethernet3,HARNESS1,Ethernet21
7280SR3-4,Ethernet4,HARNESS1,Ethernet22
7280SR3-4,Ethernet5,HARNESS1,Ethernet23
7280SR3-4,Ethernet6,HARNESS1,Ethernet24
7280CR3-1,Ethernet1/1,HARNESS1,Ethernet25
7280CR3-1,Ethernet1/2,HARNESS1,Ethernet26
7280CR3-1,Ethernet1/3,HARNESS1,Ethernet27
7280CR3-1,Ethernet1/4,HARNESS1,Ethernet28
7280CR3-1,Ethernet3/1,HARNESS1,Ethernet29
7280CR3-1,Ethernet3/2,HARNESS1,Ethernet30
7280CR3-2,Ethernet1/1,HARNESS1,Ethernet31
7280CR3-2,Ethernet1/2,HARNESS1,Ethernet32
7280CR3-2,Ethernet1/3,HARNESS1,Ethernet33
7280CR3-2,Ethernet1/4,HARNESS1,Ethernet34
7280CR3-2,Ethernet3/1,HARNESS1,Ethernet35
7280CR3-2,Ethernet3/2,HARNESS1,Ethernet36
7280CR3-3,Ethernet1/1,HARNESS1,Ethernet37
7280CR3-3,Ethernet1/2,HARNESS1,Ethernet38
7280CR3-3,Ethernet1/3,HARNESS1,Ethernet39
7280CR3-3,Ethernet1/4,HARNESS1,Ethernet40
7280CR3-3,Ethernet3/1,HARNESS1,Ethernet41
7280CR3-3,Ethernet3/2,HARNESS1,Ethernet42
7280CR3-4,Ethernet1/1,HARNESS1,Ethernet43
7280CR3-4,Ethernet1/2,HARNESS1,Ethernet44
7280CR3-4,Ethernet1/3,HARNESS1,Ethernet45
7280CR3-4,Ethernet1/4,HARNESS1,Ethernet46
7280CR3-4,Ethernet3/1,HARNESS1,Ethernet47
7280CR3-4,Ethernet3/2,HARNESS1,Ethernet48
7050SX3-1,Ethernet1,HARNESS2,Ethernet1
7050SX3-1,Ethernet2,HARNESS2,Ethernet2
7050SX3-1,Ethernet3,HARNESS2,Ethernet3
7050SX3-1,Ethernet4,HARNESS2,Ethernet4
7050SX3-1,Ethernet5,HARNESS2,Ethernet5
7050SX3-1,Ethernet6,HARNESS2,Ethernet6
7050SX3-2,Ethernet1,HARNESS2,Ethernet7
7050SX3-2,Ethernet2,HARNESS2,Ethernet8
7050SX3-2,Ethernet3,HARNESS2,Ethernet9
7050SX3-2,Ethernet4,HARNESS2,Ethernet10
7050SX3-2,Ethernet5,HARNESS2,Ethernet11
7050SX3-2,Ethernet6,HARNESS2,Ethernet12
7020SR-1,Ethernet1,HARNESS2,Ethernet13
7020SR-1,Ethernet2,HARNESS2,Ethernet14
7020SR-1,Ethernet3,HARNESS2,Ethernet15
7020SR-1,Ethernet4,HARNESS2,Ethernet16
7020SR-1,Ethernet5,HARNESS2,Ethernet17
7020SR-1,Ethernet6,HARNESS2,Ethernet18
7020SR-2,Ethernet1,HARNESS2,Ethernet19
7020SR-2,Ethernet2,HARNESS2,Ethernet20
7020SR-2,Ethernet3,HARNESS2,Ethernet21
7020SR-2,Ethernet4,HARNESS2,Ethernet22
7020SR-2,Ethernet5,HARNESS2,Ethernet23
7020SR-2,Ethernet6,HARNESS2,Ethernet24
720XP-1,Ethernet1,HARNESS2,Ethernet25
720XP-1,Ethernet2,HARNESS2,Ethernet26
720XP-1,Ethernet53/1,HARNESS2,Ethernet27
720XP-1,Ethernet53/2,HARNESS2,Ethernet28
720XP-1,Ethernet53/3,HARNESS2,Ethernet29
720XP-1,Ethernet53/4,HARNESS2,Ethernet30
720XP-2,Ethernet1,HARNESS2,Ethernet31
720XP-2,Ethernet2,HARNESS2,Ethernet32
720XP-2,Ethernet53/1,HARNESS2,Ethernet33
720XP-2,Ethernet53/2,HARNESS2,Ethernet34
720XP-2,Ethernet53/3,HARNESS2,Ethernet35
720XP-2,Ethernet53/4,HARNESS2,Ethernet36
720XP-3,Ethernet1,HARNESS2,Ethernet37
720XP-3,Ethernet2,HARNESS2,Ethernet38
720XP-3,Ethernet53/1,HARNESS2,Ethernet39
720XP-3,Ethernet53/2,HARNESS2,Ethernet40
720XP-3,Ethernet53/3,HARNESS2,Ethernet41
720XP-3,Ethernet53/4,HARNESS2,Ethernet42
720XP-4,Ethernet1,HARNESS2,Ethernet43
720XP-4,Ethernet2,HARNESS2,Ethernet44
720XP-4,Ethernet53/1,HARNESS2,Ethernet45
720XP-4,Ethernet53/2,HARNESS2,Ethernet46
720XP-4,Ethernet53/3,HARNESS2,Ethernet47
720XP-4,Ethernet53/4,HARNESS2,Ethernet48
720DP-1,Ethernet1,HARNESS3,Ethernet1
720DP-1,Ethernet2,HARNESS3,Ethernet2
720DP-1,Ethernet53/1,HARNESS3,Ethernet3
720DP-1,Ethernet53/2,HARNESS3,Ethernet4
720DP-1,Ethernet53/3,HARNESS3,Ethernet5
720DP-1,Ethernet53/4,HARNESS3,Ethernet6
720DP-2,Ethernet1,HARNESS3,Ethernet7
720DP-2,Ethernet2,HARNESS3,Ethernet8
720DP-2,Ethernet53/1,HARNESS3,Ethernet9
720DP-2,Ethernet53/2,HARNESS3,Ethernet10
720DP-2,Ethernet53/3,HARNESS3,Ethernet11
720DP-2,Ethernet53/4,HARNESS3,Ethernet12
720DP-3,Ethernet1,HARNESS3,Ethernet13
720DP-3,Ethernet2,HARNESS3,Ethernet14
720DP-3,Ethernet53/1,HARNESS3,Ethernet15
720DP-3,Ethernet53/2,HARNESS3,Ethernet16
720DP-3,Ethernet53/3,HARNESS3,Ethernet17
720DP-3,Ethernet53/4,HARNESS3,Ethernet18
720DP-4,Ethernet1,HARNESS3,Ethernet19
720DP-4,Ethernet2,HARNESS3,Ethernet20
720DP-4,Ethernet53/1,HARNESS3,Ethernet21
720DP-4,Ethernet53/2,HARNESS3,Ethernet22
720DP-4,Ethernet53/3,HARNESS3,Ethernet23
720DP-4,Ethernet53/4,HARNESS3,Ethernet24
7280SR-1,Ethernet1,HARNESS3,Ethernet25
7280SR-1,Ethernet2,HARNESS3,Ethernet26
7280SR-1,Ethernet3,HARNESS3,Ethernet27
7280SR-1,Ethernet4,HARNESS3,Ethernet28
7280SR-1,Ethernet5,HARNESS3,Ethernet29
7280SR-1,Ethernet6,HARNESS3,Ethernet30
7280SR-2,Ethernet1,HARNESS3,Ethernet31
7280SR-2,Ethernet2,HARNESS3,Ethernet32
7280SR-2,Ethernet3,HARNESS3,Ethernet33
7280SR-2,Ethernet4,HARNESS3,Ethernet34
7280SR-2,Ethernet5,HARNESS3,Ethernet35
7280SR-2,Ethernet6,HARNESS3,Ethernet36
7280SR-3,Ethernet1,HARNESS3,Ethernet37
7280SR-3,Ethernet2,HARNESS3,Ethernet38
7280SR-3,Ethernet3,HARNESS3,Ethernet39
7280SR-3,Ethernet4,HARNESS3,Ethernet40
7280SR-3,Ethernet5,HARNESS3,Ethernet41
7280SR-3,Ethernet6,HARNESS3,Ethernet42
7280SR-4,Ethernet1,HARNESS3,Ethernet43
7280SR-4,Ethernet2,HARNESS3,Ethernet44
7280SR-4,Ethernet3,HARNESS3,Ethernet45
7280SR-4,Ethernet4,HARNESS3,Ethernet46
7280SR-4,Ethernet5,HARNESS3,Ethernet47
7280SR-4,Ethernet6,HARNESS3,Ethernet48
7280SR-5,Ethernet1,HARNESS4,Ethernet1
7280SR-5,Ethernet2,HARNESS4,Ethernet2
7280SR-5,Ethernet3,HARNESS4,Ethernet3
7280SR-5,Ethernet4,HARNESS4,Ethernet4
7280SR-5,Ethernet5,HARNESS4,Ethernet5
7280SR-5,Ethernet6,HARNESS4,Ethernet6
7280SR-6,Ethernet1,HARNESS4,Ethernet7
7280SR-6,Ethernet2,HARNESS4,Ethernet8
7280SR-6,Ethernet3,HARNESS4,Ethernet9
7280SR-6,Ethernet4,HARNESS4,Ethernet10
7280SR-6,Ethernet5,HARNESS4,Ethernet11
7280SR-6,Ethernet6,HARNESS4,Ethernet12
